A_Drug_ID,A_Drug_Name,B_Drug_ID,B_Drug_Name,Mechanism_Category
D0083,Amyl Nitrite,D1211,Ozanimod,Pharmacodynamic additive effects
D0860,Isosorbide,D1211,Ozanimod,Pharmacodynamic additive effects
D1125,Nesiritide,D1211,Ozanimod,Pharmacodynamic additive effects
D1148,Nitrous acid,D1457,Selexipag,Pharmacodynamic additive effects
D1148,Nitrous acid,D0911,Levamlodipine,Pharmacodynamic additive effects
D0978,Mannitol,D1256,Perindopril,Pharmacodynamic additive effects
D0978,Mannitol,D1369,Quinapril,Pharmacodynamic additive effects
D0978,Mannitol,D0254,Captopril,Pharmacodynamic additive effects
D0978,Mannitol,D1148,Nitrous acid,Pharmacodynamic additive effects
D0933,Linezolid,D0980,Maraviroc,Pharmacodynamic additive effects
D1345,Procarbazine,D0980,Maraviroc,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0980,Maraviroc,Pharmacodynamic additive effects
D1263,Phenelzine,D0980,Maraviroc,Pharmacodynamic additive effects
D1455,Selegiline,D0980,Maraviroc,Pharmacodynamic additive effects
D0853,Isocarboxazid,D0980,Maraviroc,Pharmacodynamic additive effects
D0933,Linezolid,D1466,Silodosin,Pharmacodynamic additive effects
D0933,Linezolid,D1534,Tamsulosin,Pharmacodynamic additive effects
D0933,Linezolid,D1552,Terazosin,Pharmacodynamic additive effects
D0933,Linezolid,D1271,Phentolamine,Pharmacodynamic additive effects
D0933,Linezolid,D1602,Tolazoline,Pharmacodynamic additive effects
D1345,Procarbazine,D1466,Silodosin,Pharmacodynamic additive effects
D1620,Tranylcypromine,D1466,Silodosin,Pharmacodynamic additive effects
D1620,Tranylcypromine,D1552,Terazosin,Pharmacodynamic additive effects
D1620,Tranylcypromine,D1267,Phenoxybenzamine,Pharmacodynamic additive effects
D1620,Tranylcypromine,D1602,Tolazoline,Pharmacodynamic additive effects
D1263,Phenelzine,D1466,Silodosin,Pharmacodynamic additive effects
D1263,Phenelzine,D1552,Terazosin,Pharmacodynamic additive effects
D1263,Phenelzine,D1267,Phenoxybenzamine,Pharmacodynamic additive effects
D1263,Phenelzine,D1602,Tolazoline,Pharmacodynamic additive effects
D1455,Selegiline,D1466,Silodosin,Pharmacodynamic additive effects
D1455,Selegiline,D1552,Terazosin,Pharmacodynamic additive effects
D0853,Isocarboxazid,D1466,Silodosin,Pharmacodynamic additive effects
D0933,Linezolid,D0742,Guanabenz,Pharmacodynamic additive effects
D0933,Linezolid,D0942,Lofexidine,Pharmacodynamic additive effects
D0933,Linezolid,D0745,Guanfacine,Pharmacodynamic additive effects
D1345,Procarbazine,D0942,Lofexidine,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0942,Lofexidine,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0745,Guanfacine,Pharmacodynamic additive effects
D1263,Phenelzine,D0942,Lofexidine,Pharmacodynamic additive effects
D1263,Phenelzine,D0745,Guanfacine,Pharmacodynamic additive effects
D1455,Selegiline,D0942,Lofexidine,Pharmacodynamic additive effects
D0853,Isocarboxazid,D0942,Lofexidine,Pharmacodynamic additive effects
D0933,Linezolid,D0587,Eprosartan,Pharmacodynamic additive effects
