A_Drug_ID,A_Drug_Name,B_Drug_ID,B_Drug_Name,Mechanism_Category
D1501,Spironolactone,D1455,Selegiline,Pharmacodynamic additive effects
D1501,Spironolactone,D0853,Isocarboxazid,Pharmacodynamic additive effects
D0585,Eplerenone,D1385,Rasagiline,Pharmacodynamic additive effects
D0585,Eplerenone,D1437,Safinamide,Pharmacodynamic additive effects
D0585,Eplerenone,D1211,Ozanimod,Pharmacodynamic additive effects
D1501,Spironolactone,D1385,Rasagiline,Pharmacodynamic additive effects
D1501,Spironolactone,D1437,Safinamide,Pharmacodynamic additive effects
D1501,Spironolactone,D1211,Ozanimod,Pharmacodynamic additive effects
D0343,Cisatracurium,D0035,Alfentanil,Pharmacodynamic additive effects
D0343,Cisatracurium,D0646,Fentanyl,Pharmacodynamic additive effects
D1643,Trimethaphan,D0202,Brexpiprazole,Pharmacodynamic additive effects
D1643,Trimethaphan,D0959,Lumateperone,Pharmacodynamic additive effects
D1643,Trimethaphan,D0791,Iloperidone,Pharmacodynamic additive effects
D1643,Trimethaphan,D1215,Paliperidone,Pharmacodynamic additive effects
D1643,Trimethaphan,D0067,Amisulpride,Pharmacodynamic additive effects
D1643,Trimethaphan,D1576,Thiothixene,Pharmacodynamic additive effects
D1643,Trimethaphan,D1084,Molindone,Pharmacodynamic additive effects
D1643,Trimethaphan,D0262,Cariprazine,Pharmacodynamic additive effects
D1643,Trimethaphan,D0112,Asenapine,Pharmacodynamic additive effects
D1643,Trimethaphan,D0961,Lurasidone,Pharmacodynamic additive effects
D1643,Trimethaphan,D0105,Aripiprazole,Pharmacodynamic additive effects
