A_Drug_ID,A_Drug_Name,B_Drug_ID,B_Drug_Name
D0001,Abacavir,D0113,Asparaginase Erwinia chrysanthemi
D0001,Abacavir,D0199,Brentuximab vedotin
D0001,Abacavir,D0232,Calaspargase pegol
D0001,Abacavir,D0248,Cannabidiol
D0001,Abacavir,D0311,Chloral hydrate
D0001,Abacavir,D0375,Cobicistat
D0001,Abacavir,D0789,Idelalisib
D0001,Abacavir,D0900,Leflunomide
D0001,Abacavir,D0944,Lomitapide
D0001,Abacavir,D1073,Mipomersen
D0001,Abacavir,D1187,Orlistat
D0001,Abacavir,D1239,Peginterferon beta-1a
D0001,Abacavir,D1258,Pexidartinib
D0001,Abacavir,D1389,Remdesivir
D0001,Abacavir,D1408,Riociguat
D0001,Abacavir,D1556,Teriflunomide
D0001,Abacavir,D1615,Trabectedin
D0002,Abametapir (topical),D0044,Alpelisib
D0002,Abametapir (topical),D0129,Avapritinib
D0002,Abametapir (topical),D0204,Brigatinib
D0002,Abametapir (topical),D0518,Doravirine
D0002,Abametapir (topical),D0589,Eravacycline
D0002,Abametapir (topical),D0638,Fedratinib
D0002,Abametapir (topical),D0683,Fluticasone
D0002,Abametapir (topical),D0720,Gilteritinib
D0002,Abametapir (topical),D0725,Glasdegib
D0002,Abametapir (topical),D0901,Lemborexant
D0002,Abametapir (topical),D1169,Oliceridine
D0002,Abametapir (topical),D1242,Pemigatinib
D0002,Abametapir (topical),D1258,Pexidartinib
D0002,Abametapir (topical),D1306,Polatuzumab vedotin
D0002,Abametapir (topical),D1324,Pralsetinib
D0002,Abametapir (topical),D1407,Rimegepant
D0002,Abametapir (topical),D1409,Ripretinib
D0002,Abametapir (topical),D1432,Rucaparib
D0002,Abametapir (topical),D1459,Selpercatinib
D0002,Abametapir (topical),D1474,Siponimod
D0002,Abametapir (topical),D1538,Tazemetostat
D0002,Abametapir (topical),D1653,Troleandomycin
D0002,Abametapir (topical),D1663,Ubrogepant
D0002,Abametapir (topical),D1666,Upadacitinib
D0002,Abametapir (topical),D1709,Voxelotor
D0002,Abametapir (topical),D1718,Zanubrutinib
D0003,Abarelix,D0025,Adenosine
D0003,Abarelix,D0036,Alfuzosin
D0003,Abarelix,D0066,Amiodarone
D0003,Abarelix,D0067,Amisulpride
D0003,Abarelix,D0068,Amitriptyline
D0003,Abarelix,D0072,Amoxapine
D0003,Abarelix,D0084,Anagrelide
D0003,Abarelix,D0097,Apomorphine
D0003,Abarelix,D0103,Arformoterol
D0003,Abarelix,D0105,Aripiprazole
D0003,Abarelix,D0107,Arsenic trioxide
D0003,Abarelix,D0112,Asenapine
D0003,Abarelix,D0119,Atomoxetine
D0003,Abarelix,D0139,Azithromycin
D0003,Abarelix,D0149,Bedaquiline
D0003,Abarelix,D0184,Bisacodyl
D0003,Abarelix,D0195,Bosutinib
D0003,Abarelix,D0219,Buprenorphine
D0003,Abarelix,D0230,Cabozantinib
D0003,Abarelix,D0269,Castor oil
D0003,Abarelix,D0302,Ceritinib
D0003,Abarelix,D0320,Chloroquine
D0003,Abarelix,D0324,Chlorpromazine
D0003,Abarelix,D0336,Cilostazol
D0003,Abarelix,D0341,Ciprofloxacin
D0003,Abarelix,D0345,Citalopram
D0003,Abarelix,D0349,Clarithromycin
D0003,Abarelix,D0358,Clofazimine
D0003,Abarelix,D0370,Clozapine
D0003,Abarelix,D0393,Crizotinib
D0003,Abarelix,D0428,Dasatinib
D0003,Abarelix,D0429,Daunorubicin
D0003,Abarelix,D0430,Daunorubicin (liposomal)
D0003,Abarelix,D0446,Desipramine
D0003,Abarelix,D0452,Deutetrabenazine
D0003,Abarelix,D0467,Dextropropoxyphene
D0003,Abarelix,D0508,Disopyramide
D0003,Abarelix,D0513,Dofetilide
D0003,Abarelix,D0514,Dolasetron
D0003,Abarelix,D0516,Donepezil
D0003,Abarelix,D0526,Doxepin (topical)
D0003,Abarelix,D0528,Doxorubicin
D0003,Abarelix,D0534,Dronedarone
D0003,Abarelix,D0535,Droperidol
D0003,Abarelix,D0554,Efavirenz
D0003,Abarelix,D0569,Encorafenib
D0003,Abarelix,D0577,Entrectinib
D0003,Abarelix,D0584,Epirubicin
D0003,Abarelix,D0594,Eribulin
D0003,Abarelix,D0597,Erythromycin
D0003,Abarelix,D0599,Escitalopram
D0003,Abarelix,D0632,Ezogabine
D0003,Abarelix,D0636,Famotidine
D0003,Abarelix,D0661,Fingolimod
D0003,Abarelix,D0664,Flecainide
D0003,Abarelix,D0667,Fluconazole
D0003,Abarelix,D0676,Fluoxetine
D0003,Abarelix,D0678,Fluphenazine
D0003,Abarelix,D0691,Formoterol
D0003,Abarelix,D0694,Foscarnet
D0003,Abarelix,D0700,Fostemsavir
D0003,Abarelix,D0701,Frangula purshiana bark
D0003,Abarelix,D0707,Galantamine
D0003,Abarelix,D0712,Gatifloxacin
D0003,Abarelix,D0716,Gemifloxacin
D0003,Abarelix,D0720,Gilteritinib
D0003,Abarelix,D0725,Glasdegib
D0003,Abarelix,D0731,Glycerin
D0003,Abarelix,D0738,Granisetron
D0003,Abarelix,D0750,Haloperidol
D0003,Abarelix,D0751,Halothane
D0003,Abarelix,D0779,Hydroxychloroquine
D0003,Abarelix,D0781,Hydroxyzine
D0003,Abarelix,D0787,Ibutilide
D0003,Abarelix,D0788,Idarubicin
D0003,Abarelix,D0789,Idelalisib
D0003,Abarelix,D0791,Iloperidone
D0003,Abarelix,D0795,Imipramine
D0003,Abarelix,D0797,Indacaterol
D0003,Abarelix,D0806,Inotuzumab ozogamicin
D0003,Abarelix,D0859,Isoprenaline
D0003,Abarelix,D0868,Ivabradine
D0003,Abarelix,D0872,Ivosidenib
D0003,Abarelix,D0880,Ketoconazole
D0003,Abarelix,D0887,Lactitol
D0003,Abarelix,D0888,Lactulose
D0003,Abarelix,D0894,Lapatinib
D0003,Abarelix,D0899,Lefamulin
D0003,Abarelix,D0903,Lenvatinib
D0003,Abarelix,D0919,Levofloxacin
D0003,Abarelix,D0924,Levosalbutamol
D0003,Abarelix,D0937,Lisdexamfetamine
D0003,Abarelix,D0940,Lithium carbonate
D0003,Abarelix,D0942,Lofexidine
D0003,Abarelix,D0947,Loperamide
D0003,Abarelix,D0948,Lopinavir
D0003,Abarelix,D0960,Lumefantrine
D0003,Abarelix,D0965,Macimorelin
D0003,Abarelix,D0970,Magnesium citrate
D0003,Abarelix,D0973,Magnesium hydroxide
D0003,Abarelix,D0979,Maprotiline
D0003,Abarelix,D0992,Mefloquine
D0003,Abarelix,D1010,Mesoridazine
D0003,Abarelix,D1017,Methadone
D0003,Abarelix,D1051,Metronidazole
D0003,Abarelix,D1062,Midostaurin
D0003,Abarelix,D1063,Mifepristone
D0003,Abarelix,D1069,Mineral oil
D0003,Abarelix,D1075,Mirtazapine
D0003,Abarelix,D1092,Moxifloxacin
D0003,Abarelix,D1136,Nilotinib
D0003,Abarelix,D1155,Norfloxacin
D0003,Abarelix,D1165,Ofloxacin
D0003,Abarelix,D1166,Olanzapine
D0003,Abarelix,D1169,Oliceridine
D0003,Abarelix,D1171,Olodaterol
D0003,Abarelix,D1181,Ondansetron
D0003,Abarelix,D1185,Orciprenaline
D0003,Abarelix,D1189,Osilodrostat
D0003,Abarelix,D1190,Osimertinib
D0003,Abarelix,D1193,Oxaliplatin
D0003,Abarelix,D1210,Oxytocin
D0003,Abarelix,D1211,Ozanimod
D0003,Abarelix,D1215,Paliperidone
D0003,Abarelix,D1216,Palonosetron
D0003,Abarelix,D1221,Panobinostat
D0003,Abarelix,D1223,Papaverine
D0003,Abarelix,D1230,Pasireotide
D0003,Abarelix,D1232,Pazopanib
D0003,Abarelix,D1246,Pentamidine
D0003,Abarelix,D1254,Perflutren
D0003,Abarelix,D1257,Perphenazine
D0003,Abarelix,D1287,Picosulfuric acid
D0003,Abarelix,D1290,Pimavanserin
D0003,Abarelix,D1292,Pimozide
D0003,Abarelix,D1298,Pirbuterol
D0003,Abarelix,D1302,Pitolisant
D0003,Abarelix,D1308,Polyethylene glycol (3350 with electrolytes)
D0003,Abarelix,D1309,Polyethylene glycol (3350)
D0003,Abarelix,D1315,Posaconazole
D0003,Abarelix,D1339,Primaquine
D0003,Abarelix,D1343,Procainamide
D0003,Abarelix,D1346,Prochlorperazine
D0003,Abarelix,D1352,Promethazine
D0003,Abarelix,D1353,Propafenone
D0003,Abarelix,D1356,Propofol
D0003,Abarelix,D1361,Protriptyline
D0003,Abarelix,D1368,Quetiapine
D0003,Abarelix,D1371,Quinidine
D0003,Abarelix,D1372,Quinine
D0003,Abarelix,D1383,Ranolazine
D0003,Abarelix,D1404,Rilpivirine
D0003,Abarelix,D1413,Risperidone
D0003,Abarelix,D1418,Rivastigmine
D0003,Abarelix,D1424,Romidepsin
D0003,Abarelix,D1432,Rucaparib
D0003,Abarelix,D1438,Salbutamol
D0003,Abarelix,D1440,Salmeterol
D0003,Abarelix,D1444,Saquinavir
D0003,Abarelix,D1459,Selpercatinib
D0003,Abarelix,D1461,Sertraline
D0003,Abarelix,D1463,Sevoflurane
D0003,Abarelix,D1474,Siponimod
D0003,Abarelix,D1488,Sodium sulfate
D0003,Abarelix,D1491,Solifenacin
D0003,Abarelix,D1497,Sorafenib
D0003,Abarelix,D1498,Sotalol
D0003,Abarelix,D1516,Sulfamethoxazole
D0003,Abarelix,D1522,Sunitinib
D0003,Abarelix,D1526,Tacrolimus
D0003,Abarelix,D1533,Tamoxifen
D0003,Abarelix,D1542,Telavancin
D0003,Abarelix,D1544,Telithromycin
D0003,Abarelix,D1554,Terbutaline
D0003,Abarelix,D1560,Tetrabenazine
D0003,Abarelix,D1569,Thalidomide
D0003,Abarelix,D1574,Thioridazine
D0003,Abarelix,D1596,Tizanidine
D0003,Abarelix,D1612,Toremifene
D0003,Abarelix,D1616,Tramadol
D0003,Abarelix,D1624,Trazodone
D0003,Abarelix,D1634,Triclabendazole
D0003,Abarelix,D1637,Trifluoperazine
D0003,Abarelix,D1647,Trimipramine
D0003,Abarelix,D1673,Valbenazine
D0003,Abarelix,D1681,Vandetanib
D0003,Abarelix,D1682,Vardenafil
D0003,Abarelix,D1687,Vemurafenib
D0003,Abarelix,D1689,Venlafaxine
D0003,Abarelix,D1695,Vilanterol
D0003,Abarelix,D1706,Voriconazole
D0003,Abarelix,D1726,Ziprasidone
D0004,Abatacept,D0146,Baricitinib
D0004,Abatacept,D0246,Canakinumab
D0004,Abatacept,D0304,Certolizumab pegol
D0004,Abatacept,D0366,Clostridium tetani toxoid antigen (formaldehyde inactivated)
D0004,Abatacept,D0443,Denosumab
D0004,Abatacept,D0499,Dimethyl fumarate
D0004,Abatacept,D0507,Diroximel fumarate
D0004,Abatacept,D0545,Echinacea
D0004,Abatacept,D0661,Fingolimod
D0004,Abatacept,D0736,Golimumab
D0004,Abatacept,D0755,Hepatitis A Vaccine
D0004,Abatacept,D0756,Hepatitis B Vaccine (Recombinant)
D0004,Abatacept,D0767,Human papillomavirus type 11 L1 capsid protein antigen
D0004,Abatacept,D0803,Influenza A virus A/California/7/2009 (H1N1)-like antigen (propiolactone inactivated)
D0004,Abatacept,D0804,Influenza A virus A/Vietnam/1194/2004 (H5N1) antigen (formaldehyde inactivated)
D0004,Abatacept,D1085,Monomethyl fumarate
D0004,Abatacept,D1174,Omacetaxine mepesuccinate
D0004,Abatacept,D1211,Ozanimod
D0004,Abatacept,D1259,Pfizer-BioNTech Covid-19 Vaccine
D0004,Abatacept,D1403,Rilonacept
D0004,Abatacept,D1422,Roflumilast
D0004,Abatacept,D1447,Sarilumab
D0004,Abatacept,D1448,Satralizumab
D0004,Abatacept,D1474,Siponimod
D0004,Abatacept,D1556,Teriflunomide
D0004,Abatacept,D1599,Tocilizumab
D0004,Abatacept,D1600,Tofacitinib
D0004,Abatacept,D1662,Typhoid vaccine (inactivated)
D0004,Abatacept,D1666,Upadacitinib
D0004,Abatacept,D1671,Ustekinumab
D0004,Abatacept,D1692,Vibrio cholerae CVD 103-HgR strain live antigen
D0004,Abatacept,D1722,Zinc acetate
D0004,Abatacept,D1723,Zinc chloride
D0004,Abatacept,D1724,Zinc gluconate
D0004,Abatacept,D1725,Zinc sulfate
D0004,Abatacept,D1744,Bacillus calmette-guerin substrain tice live antigen
D0004,Abatacept,D1749,Bifidobacterium longum infantis
D0004,Abatacept,D1755,Candida albicans
D0004,Abatacept,D1765,Coccidioides immitis spherule
D0004,Abatacept,D1827,Lactobacillus acidophilus
D0004,Abatacept,D1839,Measles virus vaccine live attenuated
D0004,Abatacept,D1849,Mumps virus strain B level jeryl lynn live antigen
D0004,Abatacept,D1881,Rotavirus vaccine
D0004,Abatacept,D1882,Rubella virus vaccine
D0004,Abatacept,D1890,"Smallpox (Vaccinia) Vaccine, Live"
D0004,Abatacept,D1897,Talimogene laherparepvec
D0004,Abatacept,D1912,Trichophyton mentagrophytes
D0004,Abatacept,D1913,Tuberculin purified protein derivative
D0004,Abatacept,D1914,Typhoid vaccine (live)
D0004,Abatacept,D1920,Varicella Zoster Vaccine (Recombinant)
D0004,Abatacept,D1922,Yellow Fever Vaccine
D0005,Abciximab,D0008,Acalabrutinib
D0005,Abciximab,D0017,Acetylsalicylic acid
D0005,Abciximab,D0084,Anagrelide
D0005,Abciximab,D0087,Anisindione
D0005,Abciximab,D0096,Apixaban
D0005,Abciximab,D0102,Ardeparin
D0005,Abciximab,D0104,Argatroban
D0005,Abciximab,D0129,Avapritinib
D0005,Abciximab,D0176,Betrixaban
D0005,Abciximab,D0187,Bismuth subsalicylate
D0005,Abciximab,D0211,Bromfenac (ophthalmic)
D0005,Abciximab,D0230,Cabozantinib
D0005,Abciximab,D0247,Cangrelor
D0005,Abciximab,D0250,Caplacizumab
D0005,Abciximab,D0253,Capsicum
D0005,Abciximab,D0298,Celecoxib
D0005,Abciximab,D0309,Chamomile
D0005,Abciximab,D0331,Choline salicylate
D0005,Abciximab,D0336,Cilostazol
D0005,Abciximab,D0345,Citalopram
D0005,Abciximab,D0361,Clomipramine
D0005,Abciximab,D0364,Clopidogrel
D0005,Abciximab,D0368,Clove
D0005,Abciximab,D0414,Dalteparin
D0005,Abciximab,D0415,Danaparoid
D0005,Abciximab,D0428,Dasatinib
D0005,Abciximab,D0432,Deferasirox
D0005,Abciximab,D0435,Defibrotide
D0005,Abciximab,D0447,Desirudin
D0005,Abciximab,D0451,Desvenlafaxine
D0005,Abciximab,D0457,Dexfenfluramine
D0005,Abciximab,D0464,Dextran (low molecular weight)
D0005,Abciximab,D0476,Diclofenac
D0005,Abciximab,D0477,Diclofenac (ophthalmic)
D0005,Abciximab,D0478,Diclofenac (topical)
D0005,Abciximab,D0481,Dicoumarol
D0005,Abciximab,D0489,Diflunisal
D0005,Abciximab,D0506,Dipyridamole
D0005,Abciximab,D0537,Drotrecogin alfa
D0005,Abciximab,D0539,Duloxetine
D0005,Abciximab,D0551,Edoxaban
D0005,Abciximab,D0574,Enoxaparin
D0005,Abciximab,D0586,Epoprostenol
D0005,Abciximab,D0588,Eptifibatide
D0005,Abciximab,D0599,Escitalopram
D0005,Abciximab,D0624,Etodolac
D0005,Abciximab,D0641,Fenfluramine
D0005,Abciximab,D0645,Fenoprofen
D0005,Abciximab,D0681,Flurbiprofen (ophthalmic)
D0005,Abciximab,D0687,Fluvoxamine
D0005,Abciximab,D0690,Fondaparinux
D0005,Abciximab,D0711,Garlic
D0005,Abciximab,D0721,Ginger
D0005,Abciximab,D0722,Ginkgo biloba
D0005,Abciximab,D0723,Ginseng
D0005,Abciximab,D0752,Hemin
D0005,Abciximab,D0753,Heparin
D0005,Abciximab,D0784,Ibritumomab tiuxetan
D0005,Abciximab,D0785,Ibrutinib
D0005,Abciximab,D0786,Ibuprofen
D0005,Abciximab,D0792,Iloprost
D0005,Abciximab,D0800,Indomethacin
D0005,Abciximab,D0805,Inotersen
D0005,Abciximab,D0881,Ketoprofen
D0005,Abciximab,D0882,Ketorolac
D0005,Abciximab,D0883,Ketorolac (ophthalmic)
D0005,Abciximab,D0920,Levomilnacipran
D0005,Abciximab,D0988,Meclofenamic acid
D0005,Abciximab,D0991,Mefenamic acid
D0005,Abciximab,D0995,Meloxicam
D0005,Abciximab,D1066,Milnacipran
D0005,Abciximab,D1097,Nabumetone
D0005,Abciximab,D1109,Naproxen
D0005,Abciximab,D1123,Nepafenac (ophthalmic)
D0005,Abciximab,D1139,Nintedanib
D0005,Abciximab,D1140,Niraparib
D0005,Abciximab,D1174,Omacetaxine mepesuccinate
D0005,Abciximab,D1178,Omega-3 fatty acids
D0005,Abciximab,D1196,Oxaprozin
D0005,Abciximab,D1221,Panobinostat
D0005,Abciximab,D1229,Paroxetine
D0005,Abciximab,D1249,Pentosan polysulfate
D0005,Abciximab,D1251,Pentoxifylline
D0005,Abciximab,D1274,Phenylbutazone
D0005,Abciximab,D1300,Piroxicam
D0005,Abciximab,D1313,Ponatinib
D0005,Abciximab,D1328,Prasugrel
D0005,Abciximab,D1380,Ramucirumab
D0005,Abciximab,D1387,Regorafenib
D0005,Abciximab,D1417,Rivaroxaban
D0005,Abciximab,D1421,Rofecoxib
D0005,Abciximab,D1439,Salicylic acid (sodium)
D0005,Abciximab,D1442,Salsalate
D0005,Abciximab,D1460,Selumetinib
D0005,Abciximab,D1461,Sertraline
D0005,Abciximab,D1464,Sibutramine
D0005,Abciximab,D1506,Streptokinase
D0005,Abciximab,D1520,Sulindac
D0005,Abciximab,D1523,Suprofen (ophthalmic)
D0005,Abciximab,D1579,Ticagrelor
D0005,Abciximab,D1581,Ticlopidine
D0005,Abciximab,D1588,Tinzaparin
D0005,Abciximab,D1592,Tipranavir
D0005,Abciximab,D1593,Tirofiban
D0005,Abciximab,D1606,Tolmetin
D0005,Abciximab,D1613,Tositumomab
D0005,Abciximab,D1614,Tositumomab (I-131)
D0005,Abciximab,D1623,Trastuzumab emtansine
D0005,Abciximab,D1661,Turmeric
D0005,Abciximab,D1674,Valdecoxib
D0005,Abciximab,D1689,Venlafaxine
D0005,Abciximab,D1691,Verteporfin
D0005,Abciximab,D1696,Vilazodone
D0005,Abciximab,D1703,Vitamin E
D0005,Abciximab,D1705,Vorapaxar
D0005,Abciximab,D1708,Vortioxetine
D0005,Abciximab,D1711,Warfarin
D0005,Abciximab,D1718,Zanubrutinib
D0005,Abciximab,D1769,Deoxycholic acid
D0005,Abciximab,D1815,Icosapent
D0006,Abemaciclib,D0204,Brigatinib
D0006,Abemaciclib,D0507,Diroximel fumarate
D0006,Abemaciclib,D0545,Echinacea
D0006,Abemaciclib,D0590,Erdafitinib
D0006,Abemaciclib,D0601,Eslicarbazepine
D0006,Abemaciclib,D0638,Fedratinib
D0006,Abemaciclib,D0696,Fosnetupitant
D0006,Abemaciclib,D0803,Influenza A virus A/California/7/2009 (H1N1)-like antigen (propiolactone inactivated)
D0006,Abemaciclib,D0804,Influenza A virus A/Vietnam/1194/2004 (H5N1) antigen (formaldehyde inactivated)
D0006,Abemaciclib,D0872,Ivosidenib
D0006,Abemaciclib,D0896,Larotrectinib
D0006,Abemaciclib,D0906,Letermovir
D0006,Abemaciclib,D0953,Lorlatinib
D0006,Abemaciclib,D0999,Meningococcal polysaccharide vaccine group C
D0006,Abemaciclib,D1085,Monomethyl fumarate
D0006,Abemaciclib,D1211,Ozanimod
D0006,Abemaciclib,D1258,Pexidartinib
D0006,Abemaciclib,D1259,Pfizer-BioNTech Covid-19 Vaccine
D0006,Abemaciclib,D1389,Remdesivir
D0006,Abemaciclib,D1474,Siponimod
D0006,Abemaciclib,D1493,Somapacitan
D0006,Abemaciclib,D1546,Telotristat ethyl
D0006,Abemaciclib,D1653,Troleandomycin
D0006,Abemaciclib,D1662,Typhoid vaccine (inactivated)
D0006,Abemaciclib,D1666,Upadacitinib
D0006,Abemaciclib,D1692,Vibrio cholerae CVD 103-HgR strain live antigen
D0006,Abemaciclib,D1709,Voxelotor
D0006,Abemaciclib,D1749,Bifidobacterium longum infantis
D0006,Abemaciclib,D1827,Lactobacillus acidophilus
D0006,Abemaciclib,D1890,"Smallpox (Vaccinia) Vaccine, Live"
D0006,Abemaciclib,D1897,Talimogene laherparepvec
D0006,Abemaciclib,D1914,Typhoid vaccine (live)
D0006,Abemaciclib,D1920,Varicella Zoster Vaccine (Recombinant)
D0007,Abiraterone,D0002,Abametapir (topical)
D0007,Abiraterone,D0008,Acalabrutinib
D0007,Abiraterone,D0038,Aliskiren
D0007,Abiraterone,D0067,Amisulpride
D0007,Abiraterone,D0095,Apalutamide
D0007,Abiraterone,D0096,Apixaban
D0007,Abiraterone,D0112,Asenapine
D0007,Abiraterone,D0113,Asparaginase Erwinia chrysanthemi
D0007,Abiraterone,D0129,Avapritinib
D0007,Abiraterone,D0149,Bedaquiline
D0007,Abiraterone,D0161,Benzhydrocodone
D0007,Abiraterone,D0182,Binimetinib
D0007,Abiraterone,D0184,Bisacodyl
D0007,Abiraterone,D0192,Boceprevir
D0007,Abiraterone,D0195,Bosutinib
D0007,Abiraterone,D0199,Brentuximab vedotin
D0007,Abiraterone,D0202,Brexpiprazole
D0007,Abiraterone,D0204,Brigatinib
D0007,Abiraterone,D0230,Cabozantinib
D0007,Abiraterone,D0232,Calaspargase pegol
D0007,Abiraterone,D0248,Cannabidiol
D0007,Abiraterone,D0262,Cariprazine
D0007,Abiraterone,D0269,Castor oil
D0007,Abiraterone,D0300,Cenobamate
D0007,Abiraterone,D0302,Ceritinib
D0007,Abiraterone,D0375,Cobicistat
D0007,Abiraterone,D0393,Crizotinib
D0007,Abiraterone,D0406,Dabrafenib
D0007,Abiraterone,D0425,Darolutamide
D0007,Abiraterone,D0427,Dasabuvir
D0007,Abiraterone,D0452,Deutetrabenazine
D0007,Abiraterone,D0518,Doravirine
D0007,Abiraterone,D0543,Duvelisib
D0007,Abiraterone,D0545,Echinacea
D0007,Abiraterone,D0551,Edoxaban
D0007,Abiraterone,D0555,Elagolix
D0007,Abiraterone,D0559,Eliglustat
D0007,Abiraterone,D0562,Eluxadoline
D0007,Abiraterone,D0569,Encorafenib
D0007,Abiraterone,D0577,Entrectinib
D0007,Abiraterone,D0578,Enzalutamide
D0007,Abiraterone,D0594,Eribulin
D0007,Abiraterone,D0638,Fedratinib
D0007,Abiraterone,D0661,Fingolimod
D0007,Abiraterone,D0699,Fostamatinib
D0007,Abiraterone,D0701,Frangula purshiana bark
D0007,Abiraterone,D0720,Gilteritinib
D0007,Abiraterone,D0725,Glasdegib
D0007,Abiraterone,D0731,Glycerin
D0007,Abiraterone,D0739,Grazoprevir
D0007,Abiraterone,D0789,Idelalisib
D0007,Abiraterone,D0806,Inotuzumab ozogamicin
D0007,Abiraterone,D0866,Istradefylline
D0007,Abiraterone,D0868,Ivabradine
D0007,Abiraterone,D0869,Ivacaftor
D0007,Abiraterone,D0872,Ivosidenib
D0007,Abiraterone,D0887,Lactitol
D0007,Abiraterone,D0896,Larotrectinib
D0007,Abiraterone,D0899,Lefamulin
D0007,Abiraterone,D0903,Lenvatinib
D0007,Abiraterone,D0905,Lesinurad
D0007,Abiraterone,D0924,Levosalbutamol
D0007,Abiraterone,D0940,Lithium carbonate
D0007,Abiraterone,D0946,Lonafarnib
D0007,Abiraterone,D0953,Lorlatinib
D0007,Abiraterone,D0958,Lumacaftor
D0007,Abiraterone,D0959,Lumateperone
D0007,Abiraterone,D0961,Lurasidone
D0007,Abiraterone,D0962,Lurbinectedin
D0007,Abiraterone,D0963,Lusutrombopag
D0007,Abiraterone,D0965,Macimorelin
D0007,Abiraterone,D0970,Magnesium citrate
D0007,Abiraterone,D0973,Magnesium hydroxide
D0007,Abiraterone,D1062,Midostaurin
D0007,Abiraterone,D1069,Mineral oil
D0007,Abiraterone,D1104,Naloxegol
D0007,Abiraterone,D1139,Nintedanib
D0007,Abiraterone,D1169,Oliceridine
D0007,Abiraterone,D1171,Olodaterol
D0007,Abiraterone,D1189,Osilodrostat
D0007,Abiraterone,D1190,Osimertinib
D0007,Abiraterone,D1211,Ozanimod
D0007,Abiraterone,D1221,Panobinostat
D0007,Abiraterone,D1230,Pasireotide
D0007,Abiraterone,D1232,Pazopanib
D0007,Abiraterone,D1239,Peginterferon beta-1a
D0007,Abiraterone,D1258,Pexidartinib
D0007,Abiraterone,D1287,Picosulfuric acid
D0007,Abiraterone,D1306,Polatuzumab vedotin
D0007,Abiraterone,D1308,Polyethylene glycol (3350 with electrolytes)
D0007,Abiraterone,D1309,Polyethylene glycol (3350)
D0007,Abiraterone,D1324,Pralsetinib
D0007,Abiraterone,D1375,Radium Ra 223 dichloride
D0007,Abiraterone,D1389,Remdesivir
D0007,Abiraterone,D1396,Revefenacin
D0007,Abiraterone,D1398,Ribociclib
D0007,Abiraterone,D1404,Rilpivirine
D0007,Abiraterone,D1407,Rimegepant
D0007,Abiraterone,D1409,Ripretinib
D0007,Abiraterone,D1424,Romidepsin
D0007,Abiraterone,D1432,Rucaparib
D0007,Abiraterone,D1457,Selexipag
D0007,Abiraterone,D1459,Selpercatinib
D0007,Abiraterone,D1488,Sodium sulfate
D0007,Abiraterone,D1493,Somapacitan
D0007,Abiraterone,D1495,Somatrem
D0007,Abiraterone,D1496,Sonidegib
D0007,Abiraterone,D1505,Stiripentol
D0007,Abiraterone,D1542,Telavancin
D0007,Abiraterone,D1546,Telotristat ethyl
D0007,Abiraterone,D1556,Teriflunomide
D0007,Abiraterone,D1634,Triclabendazole
D0007,Abiraterone,D1653,Troleandomycin
D0007,Abiraterone,D1660,Tucatinib
D0007,Abiraterone,D1663,Ubrogepant
D0007,Abiraterone,D1666,Upadacitinib
D0007,Abiraterone,D1673,Valbenazine
D0007,Abiraterone,D1686,Velpatasvir
D0007,Abiraterone,D1687,Vemurafenib
D0007,Abiraterone,D1688,Venetoclax
D0007,Abiraterone,D1695,Vilanterol
D0007,Abiraterone,D1718,Zanubrutinib
D0008,Acalabrutinib,D0002,Abametapir (topical)
D0008,Acalabrutinib,D0095,Apalutamide
D0008,Acalabrutinib,D0129,Avapritinib
D0008,Acalabrutinib,D0146,Baricitinib
D0008,Acalabrutinib,D0176,Betrixaban
D0008,Acalabrutinib,D0182,Binimetinib
D0008,Acalabrutinib,D0204,Brigatinib
D0008,Acalabrutinib,D0280,Cefiderocol
D0008,Acalabrutinib,D0507,Diroximel fumarate
D0008,Acalabrutinib,D0543,Duvelisib
D0008,Acalabrutinib,D0555,Elagolix
D0008,Acalabrutinib,D0569,Encorafenib
D0008,Acalabrutinib,D0577,Entrectinib
D0008,Acalabrutinib,D0638,Fedratinib
D0008,Acalabrutinib,D0735,Goldenseal
D0008,Acalabrutinib,D0803,Influenza A virus A/California/7/2009 (H1N1)-like antigen (propiolactone inactivated)
D0008,Acalabrutinib,D0804,Influenza A virus A/Vietnam/1194/2004 (H5N1) antigen (formaldehyde inactivated)
D0008,Acalabrutinib,D0805,Inotersen
D0008,Acalabrutinib,D0872,Ivosidenib
D0008,Acalabrutinib,D0896,Larotrectinib
D0008,Acalabrutinib,D0899,Lefamulin
D0008,Acalabrutinib,D0901,Lemborexant
D0008,Acalabrutinib,D0906,Letermovir
D0008,Acalabrutinib,D0953,Lorlatinib
D0008,Acalabrutinib,D0999,Meningococcal polysaccharide vaccine group C
D0008,Acalabrutinib,D1085,Monomethyl fumarate
D0008,Acalabrutinib,D1140,Niraparib
D0008,Acalabrutinib,D1162,Ocrelizumab
D0008,Acalabrutinib,D1189,Osilodrostat
D0008,Acalabrutinib,D1211,Ozanimod
D0008,Acalabrutinib,D1258,Pexidartinib
D0008,Acalabrutinib,D1259,Pfizer-BioNTech Covid-19 Vaccine
D0008,Acalabrutinib,D1398,Ribociclib
D0008,Acalabrutinib,D1432,Rucaparib
D0008,Acalabrutinib,D1459,Selpercatinib
D0008,Acalabrutinib,D1474,Siponimod
